keyword,surface_meaning,real_meaning
对齐,统一认知和目标,又要开会把每个人说的话重新说一遍
降本增效,优化成本并提升效率,常见翻译是少花钱少招人但产出不能掉
团队像家人,团队氛围融洽互助,边界感别太强同事的活和团建都可能顺手压给你
岗位让你快速成长,岗位有锻炼价值和发展空间,没人带活还杂你要边踩坑边自己学
薪资灵活多劳多得,收入与个人表现挂钩,底薪可能不高提成规则还可能藏坑
公司扩张晋升空间大,公司处于发展阶段机会较多,先一人顶多岗至于晋升以后再说
年轻人多承担,鼓励年轻员工多历练,加班和额外任务默认由你先扛
看重你的潜力,认可你的成长可能性,先按低成本用你但要求你干出高配产出
不提倡加班,倡导工作生活平衡,嘴上说不提倡实际大家会默默加班
急招,岗位急需补充人手,大概率前任刚跑或当前团队已经缺口失衡
经常招人,公司持续扩充或补充岗位,也可能是流动率高留不住人
福利有无线网,提供基本办公环境支持,这都能写福利说明真正福利没什么可写
JD,岗位描述,纸面写的是职责范围，实际干活通常只多不少
OC,录用意向电话,离正式 offer 很近了，但没到手前都不算稳
Bg,个人背景,学历经历项目都要拿来被衡量，决定你值不值得继续聊
Base,岗位地点,先看你人放哪儿干活，能不能接受城市和通勤再说
Argue,薪资谈判,你能不能多拿一点就看这轮怎么和 HR 拉扯
Mentor,带教老师,名义上有人带你，实际靠谱不靠谱全看分到谁
活水,内部转岗机制,这个岗不合适还能内部流动，但能不能转过去另说
BU,业务单元,你实际归属的小部门，干活边界和资源都看它
BG,事业群,比 BU 更大的组织盘子，决定资源天花板和业务方向
OT,在线测试,先做题筛一轮，题挂了后面都没得聊
VI,视频面试,线上面试先筛人，表现不稳很容易直接止步
KPI面,结果导向面试轮,重点不是你会不会，而是能不能尽快产出结果
白菜,普通偏低档 offer,有总比没有强，但拿出去不太好意思横向比较
SP,特殊 offer,比普通 offer 更高一档，说明你被重点争取
SSP,超级特殊 offer,公司愿意破格抢人，但这种机会只给少数人
总包,总收入口径,基本工资绩效年终奖补贴全加起来给你看个大数
签字费,签约奖金,先给一点甜头把你签下来，后面通常会绑定服务期
八股文,面试高频标准题,背了能过筛，不代表真能上手干活
月base,月基本工资,看着像稳定收入，实际总包里很多钱未必每月都能拿到
WLB,工作与生活平衡,常被当卖点说出来，真假要靠问下班时间和团队节奏
offer,正式录用通知,嘴上说稳了不算，拿到书面才真的算数
Package,薪酬福利包,把工资奖金股票补贴打包成一个大数给你看
HR,人力资源,流程和口径都握在他们手里，能不能推进 often 看这一关
HRBP,人力资源业务伙伴,挂着懂业务的名义，核心还是帮业务把人和事管顺
RD,研发,真正写代码和扛技术交付的那帮人
FTE,正式全职员工,编制内自己人，权限和稳定性通常高于外包
TP,第三方人员,能干活但身份不算自己人，很多资源和归属感都差一截
onboard,入职流程,签完之后还有一堆手续培训账号配置等着你过
offboard,离职流程,人要走了也得把权限设备流程一项项交干净
BG check,背景调查,学历经历背调要过关，简历有水分这关最容易出事
OKR,目标与关键成果,看起来比 KPI 高级，本质上还是要把目标拆细再追责
JD update,职位描述更新,岗位要求说改就改，说明业务侧需求可能还没定稳
大白菜,更低档位 offer,比白菜还朴素，基本就是能进场但别指望惊喜
期权,未来股权激励,账面上很美，能不能兑现要看公司发展和归属条件
年终,年度奖金,写得再好也可能浮动，最后发多少常常不是你说了算
996,早九晚九每周六天,用时间换产出的笨办法还要你感恩
大小周,隔周休息一天,每两周多卖一天命还觉得已经很人性化
弹性上班,上班时间灵活安排,早到不能早走晚到默认晚走
快节奏,工作节奏紧凑高效,需求追着屁股跑喘口气都算摸鱼
自驱力,主动寻找任务与方向,没人管你但活得自己找自己扛
执行力,快速准确完成任务,别问为什么照做就行
皮实,抗压抗打击不玻璃心,被骂了别哭接着干
延迟满足,先付出后获得回报,画饼话术的学术包装版
能扛事,在压力下独立完成任务,出了问题你一个人顶没人帮你
随时待命,保持可联系状态,下班也别关手机周末也可能找你
冲刺期,短期高强度投入,说是短期但冲刺完还有下一个冲刺
战役,重大项目攻坚,加班到死也要把这个项目怼上线
保持饥饿感,持续追求进步与突破,别觉得够了继续卷
高效产出,单位时间产出高质量成果,翻译过来就是又快又好还不能加钱
使命必达,承诺的目标必须完成,做不到就是态度问题别找借口
拼搏精神,全力以赴的工作态度,加班文化的正能量包装
打硬仗,攻克高难度任务,资源不给够但结果不能差
高目标高要求,对标卓越标准,目标定得离谱完不成算你的
双月目标,两个月为周期的目标管理,短跑接力一轮接一轮不让你歇
战时状态,紧急应对模式,永远在打仗从来没有和平
all hands,全员参与,周末通宵都得来别问有没有加班费
极限交付,在最短时间完成交付,deadline永远是昨天
日报周报月报,多维度工作汇报,干活一小时汇报两小时
on call,随时响应线上问题,凌晨三点的告警也是你的
战功文化,以结果论英雄,做成了是团队的功劳搞砸了是你的锅
加班是福报,加班即个人成长机会,你品你细品
深夜食堂,公司提供夜宵,潜台词是你要在公司待到深夜
早会晚会日会周会,频繁开会对齐信息,一天开八个会还问你为什么活没干完
拉通对齐,跨部门统一目标信息,翻译：又要开两小时没结论的会
高强度但有成长,压力大但能学到东西,牛马生活的正面表述
行权,期权转为实际股权的操作,行权价和税算完可能倒贴钱
RSU,限制性股票单位,看着值钱但分四年给你还得留够久
股票回购,公司回购员工持股,回购价大概率低于你的期望价
薪酬带宽,岗位薪资的上下限范围,告诉你天花板在哪别想太多
绩效系数,绩效评分对应的薪资倍数,系数0.8的时候你就知道痛了
调薪窗口,可以调整薪资的时间节点,一年就开一次还不一定轮到你
十六薪,年底多发四个月工资,月薪除以十六再乘十六你算算
十三薪,年底多发一个月工资,看着是福利其实是把年薪拆着发
股票解锁期,限制性股票分批到手的周期,锁你四年跑了就没了
竞业协议,限制离职后从事竞争行业,走人还要被锁半年到两年
补充公积金,额外缴纳的住房公积金,听着好听到手多几百块
商业保险,公司额外购买的保险,保的范围和额度得自己看清楚
期权池,为员工预留的股权激励总量,池子多大跟你能分多少是两回事
干股,不出资获得的股权分红权,分红看老板心情走了就没了
对赌条款,投资方和创始团队的业绩约定,完不成指标创始人赔钱你猜谁先被裁
cliff期,期权等待生效的锁定期,第一年白干一股不给
薪资倒挂,新员工薪资高于老员工,老人含泪带新人问为什么
年假无限,不限制年假天数,理论无限实际你敢休三天试试
餐补交通补,餐饮和交通的现金补贴,一天补二十块钱打发叫花子呢
极客文化,崇尚技术和创新精神,加班不叫加班叫热爱技术
工程师文化,技术驱动的组织文化,不会PPT没关系但996得接受
结果导向,以最终成果评价工作,过程再辛苦结果不好全白搭
目标感,对目标保持清晰和执着,你得自己找方向别指望有人告诉你
拥抱变化,积极适应组织调整和变动,需求朝令夕改你别抱怨
共创,共同创造价值,翻译：你也得出力别光看着
透明沟通,信息公开坦诚交流,坏消息也告诉你但你改变不了什么
简单直接,沟通不拐弯抹角,老板骂你不用客气你得扛住
no politics,不搞办公室政治,嘴上说不搞但你不搞别人搞
open door,管理层开放沟通的政策,门是开的但你进去了也没用
peer review,同事互评,同事给你打低分你还不知道是谁
团建,团队建设活动,占用周末去做老板喜欢的事
复盘,项目结束后总结经验教训,找人背锅的官方流程
务虚会,讨论战略和方向的会议,说了一天等于什么都没说
开放工位,没有固定办公位置,连个自己的抽屉都没有
CEO面对面,高管与员工直接交流,你提的建议大概率不会被采纳
文化价值观考核,用企业文化标准评估员工,不加班也可以用价值观不匹配淘汰你
ownership,主人翁意识,公司是老板的活是你的
交叉面,不同部门的人面试你,每个面试官问一遍相同的问题
压力面,高压情境下考察应变能力,故意刁难你看你会不会崩
case面,分析商业案例考察思维,给你一小时解决咨询公司三个月的项目
行为面,用过往行为预测未来表现,翻来覆去问你以前怎么处理冲突的
群面,多个候选人同时面试,一群人互相表演谁更会抢话
终面,最后一轮面试,走到这一步也可能被拒别放松
pool面,面试通过但进入候选池等待,过了但没坑先晾着你
谈薪,协商薪资待遇,HR压价你抬价最后取个中间值
加面,临时增加面试轮次,原来的面试官没拿定主意再找人看看
技术面,考察技术能力的面试,算法手撕白板写代码
HR面,人力资源面试,看你期望薪资好决定怎么压
电话面,通过电话进行的初步面试,筛人效率工具十分钟决定你有没有下一轮
笔试,书面考试,做三小时题最后可能连面试机会都没有
面试复盘,面试官讨论对候选人的评价,几个面试官关起门来给你打分
简历过筛,初步筛选简历,HR平均看一份简历不超过十秒
霸面,未获面试邀请主动去面试,不请自来赌一把可能有机会也可能被赶走
意向书,非正式录用意向,比口头承诺强一点比offer弱一点
薪资保密,不允许讨论薪资,怕你知道同事比你多然后要求涨薪
open question,开放式面试问题,没有标准答案但有标准期望
反问环节,候选人向面试官提问,问得好加分问得差扣印象分
管理通道,向管理岗位晋升的路径,带人之后技术退化是标配
专家通道,向技术专家晋升的路径,不想带人就得证明你技术牛到不可替代
述职答辩,晋升时的陈述和答辩环节,准备一个月讲十五分钟决定你升不升
360评估,多维度全方位评价,上下左右都给你打分总有人拖后腿
人才盘点,盘点组织人才分布与潜力,谁该升谁该走管理层关门讨论
高潜,高潜力人才,被贴上标签多干活但不一定多拿钱
职级,岗位层级体系,决定你的薪资天花板和话语权
技术委员会,技术方向决策组织,一群人投票决定你的晋升
绩效校准,跨团队统一绩效评分标准,你主管给你打A但校准后可能变B
答辩评委,晋升答辩的评审人,不认识你的人用十五分钟评判你一年的工作
晋升名额,可晋升的人数限制,蛋糕就这么大排队等着分
轮岗,在不同岗位间轮换工作,美其名曰全面发展实际是哪里缺人往哪填
IDP,个人发展计划,写完存档大概率没人跟进
导师制,为新人指定经验丰富的导师,导师自己都忙得要死哪有空管你
领导力培养,培养管理和领导能力,上了两天培训课回来还是一样
破格晋升,跳过常规流程加速晋升,要么你真的牛要么你有人罩
人才密度,团队中高水平人才的比例,意思是平庸的人要被淘汰腾位置
心智,用户的认知和印象,消费者脑子里怎么想的我们说了算
触达,接触到目标用户,花钱让广告出现在你面前
渗透率,产品在目标市场的覆盖程度,装了我们APP的人占多少
北极星指标,最核心的衡量指标,全公司就追这一个数据其他都不重要
飞轮效应,正循环持续加速增长,一个环节带动另一个听着很美做着很难
长尾,非热门但总量可观的部分,大爆款找不到就去捡碎渣子
生态,围绕核心产品的上下游体系,把供应商和用户都绑在自己平台上
矩阵,多维度组合的业务布局,横竖拉个表格就叫战略矩阵
护城河,核心竞争壁垒,别人抄不走的优势（如果真有的话）
品类心智,在某个品类中占据用户认知,让用户想到这个东西就想到你
用户画像,目标用户的特征描述,给人贴标签然后精准收割
GMV,成交总额,刷单退货都算在里面的虚胖数字
DAU,日活跃用户数,打开APP就算活跃哪怕只看了一秒
留存率,用户持续使用产品的比例,装了不卸载就算留住你了
转化漏斗,用户从接触到成交的各阶段,每一步都在流失用户
私域流量,品牌自主掌控的用户群体,加了微信群就算私域了
种草,通过内容激发购买欲望,让博主假装自发推荐其实都是广告
心智占领,让品牌占据用户认知首位,洗脑洗到你下意识就选我
中台,共享能力的平台化组织,建的时候吹上天拆的时候骂到底
数据驱动,用数据指导决策,数据说什么就信什么除非老板不同意
场景化,将产品功能融入具体使用场景,给每个功能编一个故事
杠杆,以小搏大的策略手段,花一块钱想赚十块钱的算盘
打法,业务推进的具体策略,说白了就是怎么干但听着更高级
卡位,抢占有利的市场位置,先占坑再说管它能不能守住
组合打法,多种策略协同使用,什么招都试一遍看哪个能活
PMF,产品市场匹配度,产品做出来到底有没有人要
SOP,标准作业流程,把活拆成傻瓜步骤谁来都能干
ABtest,对照实验测试方案优劣,两个版本赛马看数据决定谁活
向上管理,管理与上级的关系,翻译：学会哄老板开心
横向拉通,跨部门协调资源与信息,你去求别的部门配合祝你好运
owner意识,对工作的主人翁责任感,什么事都找你因为你是owner
体感,对事物的直觉判断,说不出数据但感觉不太对
共识,团队达成一致认知,吵了三小时最后按老板说的办
势能,积累的影响力和推动力,先造声势管它有没有实质进展
benchmark,参照对标标准,找个标杆抄一下改改就是创新
人效,人均产出效率,用更少的人干更多的活
管理颗粒度,管理的精细程度,事无巨细都要管的微操型领导
向下兼容,照顾低层级员工的理解能力,说人话让基层也能听懂
信息差,掌握信息的不对等,老板知道的你不知道反过来也一样
管理抓手,管理者推动工作的关键着力点,找个指标盯死就是管理
组织架构调整,调整部门和汇报关系,新官上任三把火第一把就是换组织架构
汇报关系,向谁汇报工作,你的命运取决于你汇报给谁
带宽,个人或团队的精力余量,忙不过来了的技术说法
拉会,召集会议讨论问题,解决不了就开会开会解决不了就继续开
组织优化,调整组织结构提升效率,优化就是裁员的官方说法
结构调整,重新调整组织架构,换个说法的组织优化还是裁员
毕业,员工离开公司,被辞退的最温柔说法
人员优化,减少冗余人员,你不是被裁是被优化了
PIP,绩效改进计划,拿到PIP基本就是在走离职倒计时
业务收缩,缩减业务规模和投入,砍业务线顺便砍人
末位淘汰,绩效排名最后的被淘汰,总有人要当最后一名哪怕大家都很努力
N+1,法定经济补偿金标准,裁员时给你的遣散费别嫌少
人才释放,将员工从当前岗位释放,你被释放了自由了也失业了
战略收缩,主动缩小业务范围,打不过就跑说得好听叫战略收缩
业务整合,合并多个业务单元,合并之后总有一波人多余
关停并转,关闭停止合并转型,四个字每个都可能让你失业
向社会输送人才,员工离开公司,裁员的最高级修辞
拥抱不确定性,接受随时可能的变化,你可能随时被调岗或裁掉
聚焦核心业务,集中资源在核心业务,非核心的部门和人都可以砍
去肥增瘦,精简组织减少冗余,胖了就减肥减的是人不是脂肪
活水计划,内部人才流动机制,部门要裁你但允许你自己内部找下家
提效,提高效率,同样的人干更多的活或更少的人干同样的活
组织瘦身,减少组织层级和人员规模,公司要减肥先减掉你这块肉
核心岗位,对业务至关重要的岗位,每个岗位都说自己核心实际看预算
战略级项目,公司最高优先级项目,今年战略明年可能就被砍
创始团队,公司早期核心成员,听着光荣但大概率钱少活多还没保障
独角兽,估值超过十亿美元的公司,估值靠融资撑着不代表能赚钱
赛道,所在的行业细分领域,风口上的赛道今年有明年可能就没了
C轮,C轮融资阶段,融了三轮还没盈利你品品
Pre-IPO,即将上市阶段,说了三年要上市你还在等
明星团队,由行业知名人士组成的团队,大佬的名字挂着但你日常见不到
技术壁垒,难以被竞争对手复制的技术,自称有壁垒的公司十家有九家没有
行业头部,行业排名前列的公司,自称头部的比真正头部的多十倍
高速增长,业务快速扩张中,可能是真增长也可能是烧钱换来的
千万级用户,用户规模达千万级别,注册用户千万活跃用户可能就几万
百亿市场,目标市场规模达百亿,市场百亿跟你公司能吃到多少是两回事
全球化布局,业务拓展至全球市场,在东南亚开了个小办公室
AI驱动,用人工智能技术驱动业务,接了个GPT的API就说自己AI驱动
风口项目,处于行业红利期的项目,风口过了猪也会摔下来
D轮,D轮融资阶段,融了四轮还没上市你慌不慌
一线基金领投,知名投资机构领投,投资人投的是赛道不是你
扁平化团队,管理层级少的团队,人少事多所以不需要那么多层级
股权激励,用公司股权激励员工,画个大饼锁你四年
技术驱动,以技术创新推动业务发展,产品不行就说我们技术驱动
蓝海市场,竞争较少的新兴市场,可能真没竞争也可能是没人要做
闭环能力,从头到尾独立完成的能力,一个人干三个人的活叫闭环能力
第一性原理,回归事物本质思考问题,查理芒格的话被说烂了
杠杆率,投入产出的倍数关系,老板想用一块钱干十块钱的事
去中心化,减少对核心节点的依赖,听着很Web3实际就是不想设管理层
深度绑定,与合作方建立紧密关系,把对方锁死在自己平台上
共赢,合作双方都获得利益,我赢你也别亏太多就叫共赢
全栈,前后端都能做的能力,一个人干两个人的活省一份工资
T型人才,一专多能的复合型人才,精通一样还得会其他八样
人才梯队,层次分明的人才储备体系,老人太贵了后面排着便宜的新人
组织能力,组织整体的执行和创新能力,你们团队不行就是组织能力不行
战略定力,面对诱惑坚持长期目标,老板不想转型的高级说法
终局思维,从最终结果倒推当前决策,先想好五年后什么样然后发现猜不准
破圈,突破原有圈层触达新用户,让不关注你的人也知道你
IP化,将品牌或个人打造为IP,包装一下人设然后到处刷脸
内卷,过度竞争导致效率下降,大家拼命加班但总产出没涨
摸鱼,工作时间做与工作无关的事,是摸鱼还是正常休息取决于谁在看
人才引进,招聘优秀人才加入团队,前任跑了或业务急了才急着填坑
资源位,平台分配的曝光展示位置,给不给你流量全看平台心情
数据中台,统一管理数据的共享平台,建了两年花了一个亿最后没人用
链路,业务流程的完整路径,从A到B说得像搞物流一样复杂
方法论,系统化的工作方法,把常识包装成理论然后出书卖课
组织温度,组织对员工的关怀程度,发个月饼就说自己有温度
战略对齐,确保各部门目标与战略一致,对齐完还是各干各的
确定性,业务结果的可预期程度,老板要的是确定性给的是不确定性
认知升级,提升思维和认知水平,听了一场分享觉得自己顿悟了
信息平权,让所有人获得同等信息,老板先开小会再开大会叫平权
人才画像,理想候选人的能力特征描述,写得像在找超人实际薪资开三千
能力模型,岗位所需能力的结构化描述,把正常干活的要求写成学术论文
产业互联网,互联网技术应用于传统产业,给传统行业装个APP就叫数字化
赋能业务,为业务提供支持和能力,翻译：你是工具人去帮业务擦屁股
造血能力,组织自我盈利的能力,不靠融资活下去这才是真本事
人才复用,让员工承担多种角色,一个人干三个岗位的活叫复用
